date,traf,hour,is_weekday,day,region,lower,upper,region2,predict,tech,kpi
2023-05-30 13:00:00,,13,1,30,Lankaran,495536.9905398964,539260.2392193008,4,517398.6148795986,4G,data traf
2023-05-30 14:00:00,,14,1,30,Lankaran,497301.1079933222,541214.3487503377,4,519257.72837183,4G,data traf
2023-05-30 15:00:00,,15,1,30,Lankaran,468016.75029952725,516768.624162486,4,492392.6872310066,4G,data traf
2023-05-30 16:00:00,,16,1,30,Lankaran,435030.81449186464,484928.3778431497,4,459979.5961675072,4G,data traf
2023-05-30 17:00:00,,17,1,30,Lankaran,424801.8469015956,476012.79859362845,4,450407.322747612,4G,data traf
2023-05-30 18:00:00,,18,1,30,Lankaran,414501.1295071775,472442.1731767101,4,443471.65134194377,4G,data traf
2023-05-30 19:00:00,,19,1,30,Lankaran,422422.5994386377,483102.5964566526,4,452762.5979476452,4G,data traf
2023-05-30 20:00:00,,20,1,30,Lankaran,457622.6332137645,523208.808191322,4,490415.7207025433,4G,data traf
2023-05-30 21:00:00,,21,1,30,Lankaran,539675.5233625573,610615.0647809439,4,575145.2940717506,4G,data traf
2023-05-30 22:00:00,,22,1,30,Lankaran,581071.5664924158,646411.0721522794,4,613741.3193223476,4G,data traf
2023-05-30 23:00:00,,23,1,30,Lankaran,566024.1413298162,626669.5386959711,4,596346.8400128937,4G,data traf
2023-05-29 23:00:00,76113.33571243286,23,1,29,Naxchivan,46287.1322635256,66828.45400842797,5,56557.79313597679,4G,data traf
2023-05-30 00:00:00,65465.14561748505,0,1,30,Naxchivan,67937.64296703925,75328.1885008181,5,71632.91573392868,4G,data traf
2023-05-30 01:00:00,44396.10695934296,1,1,30,Naxchivan,47402.5621671619,55395.83445351223,5,51399.198310337066,4G,data traf
2023-05-30 02:00:00,22438.06192779541,2,1,30,Naxchivan,25417.34517399308,30811.79345218185,5,28114.569313087464,4G,data traf
2023-05-30 03:00:00,17418.731556892395,3,1,30,Naxchivan,14943.599474005505,18515.22875179787,5,16729.414112901686,4G,data traf
2023-05-30 04:00:00,12512.314261436462,4,1,30,Naxchivan,11035.68351465961,13828.696404888426,5,12432.189959774018,4G,data traf
2023-05-30 05:00:00,12269.061039924622,5,1,30,Naxchivan,9209.485917532162,11351.421380021851,5,10280.453648777007,4G,data traf
2023-05-30 06:00:00,16015.12737083435,6,1,30,Naxchivan,10864.004695244032,14277.746515312,5,12570.875605278015,4G,data traf
2023-05-30 07:00:00,22789.128030776978,7,1,30,Naxchivan,24194.25133327655,27886.40008683988,5,26040.32571005821,4G,data traf
2023-05-30 08:00:00,39567.18953227997,8,1,30,Naxchivan,37787.394272611615,46130.52899627877,5,41958.96163444519,4G,data traf
2023-05-30 09:00:00,,9,1,30,Naxchivan,52239.13836737428,58463.850197174215,5,55351.494282274245,4G,data traf
2023-05-30 10:00:00,,10,1,30,Naxchivan,54015.720510963125,61461.3676717914,5,57738.54409137726,4G,data traf
2023-05-30 11:00:00,,11,1,30,Naxchivan,57187.27666365476,63285.25811530261,5,60236.267389478686,4G,data traf
2023-05-30 12:00:00,,12,1,30,Naxchivan,58972.51857926919,63860.03146669791,5,61416.27502298355,4G,data traf
2023-05-30 13:00:00,,13,1,30,Naxchivan,62048.57231935972,67760.41527316577,5,64904.493796262745,4G,data traf
2023-05-30 14:00:00,,14,1,30,Naxchivan,65934.96565604041,69659.23590096642,5,67797.10077850342,4G,data traf
2023-05-30 15:00:00,,15,1,30,Naxchivan,61820.34567723367,67041.49142969993,5,64430.9185534668,4G,data traf
2023-05-30 16:00:00,,16,1,30,Naxchivan,62937.34282945821,66553.90294130138,5,64745.6228853798,4G,data traf
2023-05-30 17:00:00,,17,1,30,Naxchivan,57802.84445264693,70719.96469581727,5,64261.4045742321,4G,data traf
2023-05-30 18:00:00,,18,1,30,Naxchivan,60656.03443012301,73112.14100196774,5,66884.08771604538,4G,data traf
2023-05-30 19:00:00,,19,1,30,Naxchivan,59269.92359048168,72774.85631207189,5,66022.38995127678,4G,data traf
2023-05-30 20:00:00,,20,1,30,Naxchivan,61854.07178091092,75276.67724170643,5,68565.37451130868,4G,data traf
2023-05-30 21:00:00,,21,1,30,Naxchivan,60818.52348528654,75095.52348931521,5,67957.02348730087,4G,data traf
2023-05-30 22:00:00,,22,1,30,Naxchivan,68167.19116859738,83904.52387490924,5,76035.8575217533,4G,data traf
2023-05-30 23:00:00,,23,1,30,Naxchivan,46287.1322635256,66828.45400842797,5,56557.79313597679,4G,data traf
2023-05-29 23:00:00,543779.3392047882,23,1,29,Qarabag,531416.139327786,576497.7981629634,6,553956.9687453747,4G,data traf
2023-05-30 00:00:00,421411.5884275437,0,1,30,Qarabag,426429.6111589291,461922.5376837298,6,444176.0744213295,4G,data traf
2023-05-30 01:00:00,297867.5382585525,1,1,30,Qarabag,314375.00289359863,340311.72665886104,6,327343.36477622984,4G,data traf
2023-05-30 02:00:00,205266.23724269867,2,1,30,Qarabag,210363.01886152703,225158.76320613423,6,217760.89103383065,4G,data traf
2023-05-30 03:00:00,152797.87441539764,3,1,30,Qarabag,152981.93999691753,165277.45985821934,6,159129.69992756844,4G,data traf
2023-05-30 04:00:00,128309.72545719148,4,1,30,Qarabag,129577.83307979116,140614.82934835902,6,135096.3312140751,4G,data traf
2023-05-30 05:00:00,124569.88822460176,5,1,30,Qarabag,117593.64493863276,128500.72746661016,6,123047.18620262148,4G,data traf
2023-05-30 06:00:00,172922.1272907257,6,1,30,Qarabag,166741.34231454576,178401.6459453419,6,172571.49412994384,4G,data traf
2023-05-30 07:00:00,244877.2608613968,7,1,30,Qarabag,257146.77271511703,275011.0256073889,6,266078.8991612529,4G,data traf
2023-05-30 08:00:00,277733.34105682373,8,1,30,Qarabag,276427.8284273627,329793.70325156185,6,303110.7658394623,4G,data traf
2023-05-30 09:00:00,,9,1,30,Qarabag,314533.5779061932,348612.2097103839,6,331572.89380828856,4G,data traf
2023-05-30 10:00:00,,10,1,30,Qarabag,346521.4675755066,380360.7254897361,6,363441.09653262136,4G,data traf
2023-05-30 11:00:00,,11,1,30,Qarabag,380291.4138797336,409035.7353360982,6,394663.5746079159,4G,data traf
2023-05-30 12:00:00,,12,1,30,Qarabag,385587.7407205939,411790.2460280252,6,398688.9933743096,4G,data traf
2023-05-30 13:00:00,,13,1,30,Qarabag,390583.2023460535,417456.1487930151,6,404019.6755695343,4G,data traf
2023-05-30 14:00:00,,14,1,30,Qarabag,389259.0401358036,417969.4360527035,6,403614.2380942535,4G,data traf
2023-05-30 15:00:00,,15,1,30,Qarabag,379994.13989032415,410951.4484640536,6,395472.7941771889,4G,data traf
2023-05-30 16:00:00,,16,1,30,Qarabag,390121.2165405581,422209.2171352652,6,406165.2168379116,4G,data traf
2023-05-30 17:00:00,,17,1,30,Qarabag,383496.3176450068,418416.89318833296,6,400956.60541666986,4G,data traf
2023-05-30 18:00:00,,18,1,30,Qarabag,376353.19869892753,422966.2424395117,6,399659.7205692196,4G,data traf
2023-05-30 19:00:00,,19,1,30,Qarabag,413607.8757199522,458636.90436414274,6,436122.3900420475,4G,data traf
2023-05-30 20:00:00,,20,1,30,Qarabag,468415.9495497985,501809.2746174149,6,485112.6120836067,4G,data traf
2023-05-30 21:00:00,,21,1,30,Qarabag,512615.8576269257,550370.6899164666,6,531493.2737716961,4G,data traf
2023-05-30 22:00:00,,22,1,30,Qarabag,543694.0910561817,583497.4126027614,6,563595.7518294716,4G,data traf
2023-05-30 23:00:00,,23,1,30,Qarabag,531416.139327786,576497.7981629634,6,553956.9687453747,4G,data traf
2023-05-29 23:00:00,893160.223772049,23,1,29,Quba,927783.4899282528,994745.8925280116,7,961264.6912281322,4G,data traf
2023-05-30 00:00:00,782088.1504354477,0,1,30,Quba,894411.998208612,953974.0794070114,7,924193.0388078116,4G,data traf
2023-05-30 01:00:00,575307.0815525055,1,1,30,Quba,635378.3643333114,683499.0593761384,7,659438.7118547249,4G,data traf
2023-05-30 02:00:00,345387.9054441452,2,1,30,Quba,378386.6574220018,411222.1020396681,7,394804.379730835,4G,data traf
2023-05-30 03:00:00,223672.7738790512,3,1,30,Quba,233642.0630768272,257122.2106536988,7,245382.136865263,4G,data traf
2023-05-30 04:00:00,153287.5822277069,4,1,30,Quba,171786.28995305125,186149.3757185262,7,178967.83283578872,4G,data traf
